Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1801,m_3,c_2,s,-,0.8317,0.5578702
model_1802,c_2,m_3,c_1,c_12,0.9445,0.18993917
model_1803,c_5,c_6,c_12,m_2,0.9732,0.08234803
model_1804,c_5,c_3,c_11,c_2,0.9753,0.08043479
model_1805,m_2,c_6,c_7,c_9,0.9275,0.23898427
model_1806,c_12,m_3,c_4,m_3,0.9602,0.13636355
model_1807,m_3,c_2,c_12,m_1,0.8634,0.441945
model_1808,c_4,m_3,c_11,c_8,0.9332,0.22934754
model_1809,c_4,c_3,c_3,c_5,0.9728,0.08483685
model_1810,c_10,c_1,m_1,m_1,0.9551,0.15214442
model_1811,c_6,m_1,m_1,c_1,0.9309,0.2540271
model_1812,c_2,m_2,c_3,c_11,0.9542,0.16156285
model_1813,m_1,m_2,m_3,c_1,0.2156,2.1872334
model_1814,c_10,c_3,c_2,c_5,0.9735,0.084061354
model_1815,c_5,c_11,m_2,c_7,0.9624,0.12575147
model_1816,c_1,m_2,c_12,c_2,0.947,0.17458434
model_1817,c_1,c_8,m_1,c_1,0.9604,0.1344644
model_1818,c_6,c_7,c_10,c_7,0.9737,0.085955665
model_1819,c_1,c_5,c_10,c_1,0.9765,0.078444734
model_1820,m_3,c_9,s,-,0.8287,0.5660216
model_1821,c_3,c_4,c_6,c_5,0.9734,0.0820402
model_1822,c_2,c_7,m_2,c_7,0.9591,0.13939835
model_1823,c_12,c_10,c_10,c_1,0.9736,0.083023034
model_1824,m_1,c_6,c_11,c_5,0.9332,0.22082217
model_1825,m_1,c_1,m_1,c_7,0.8978,0.3777578
model_1826,c_11,c_5,c_5,c_11,0.9745,0.08587025
model_1827,c_2,c_11,c_10,c_3,0.9746,0.079675496
model_1828,c_3,c_7,c_8,c_2,0.9736,0.08901839
model_1829,c_6,c_11,c_6,c_12,0.9746,0.08273458
model_1830,m_1,c_5,c_11,c_11,0.9392,0.20813653
model_1831,c_7,c_2,c_12,c_4,0.9714,0.08595269
model_1832,c_5,m_1,m_3,c_8,0.9023,0.3790615
model_1833,c_10,c_6,m_3,c_5,0.9681,0.10594806
model_1834,c_12,c_6,c_5,c_5,0.9721,0.0874893
model_1835,m_1,c_5,c_2,m_3,0.9382,0.20560774
model_1836,c_5,c_3,c_12,m_2,0.9749,0.078432575
model_1837,c_2,c_10,c_11,c_4,0.9723,0.08521888
model_1838,c_12,m_3,m_2,c_2,0.9332,0.26471642
model_1839,c_4,m_1,c_11,c_3,0.9497,0.16910551
model_1840,m_1,c_8,c_3,s,0.9358,0.20773518
model_1841,c_2,c_3,m_2,c_12,0.9659,0.11622933
model_1842,m_2,c_1,c_10,s,0.9356,0.21772338
model_1843,m_1,m_1,c_12,c_8,0.7997,0.66867787
model_1844,c_12,c_10,m_1,c_5,0.9568,0.14142649
model_1845,m_2,c_2,s,-,0.9095,0.30862635
model_1846,c_8,c_12,c_5,m_1,0.973,0.08247081
model_1847,m_1,m_1,c_2,c_5,0.803,0.6682039
model_1848,c_6,c_4,c_11,c_10,0.9735,0.0849655
model_1849,c_7,c_4,c_3,m_3,0.9737,0.08570736
model_1850,m_2,c_12,c_12,m_3,0.933,0.21970344
model_1851,c_2,c_6,c_4,c_4,0.9736,0.084525675
model_1852,c_2,c_4,c_1,c_12,0.9742,0.0811062
model_1853,c_2,c_7,c_7,s,0.9742,0.08085144
model_1854,c_11,c_2,c_9,m_1,0.9711,0.088515766
