EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_203,c_5,c_4,c_12,c_5,0.9817,0.05661234
episode_204,c_4,c_4,s,-,0.9775,0.07595925
episode_205,c_9,c_1,c_11,m_3,0.9803,0.0629059
episode_206,c_4,c_10,c_10,m_1,0.9822,0.055473067
episode_207,m_1,c_11,c_5,c_1,0.9576,0.14350304
episode_208,c_8,s,-,-,0.9613,0.13357337
episode_208,c_8,s,-,-,0.962,0.13284324
episode_209,c_2,m_1,s,-,0.9492,0.176647
episode_210,c_3,c_3,m_3,m_2,0.9814,0.06144468
episode_211,c_5,c_7,c_5,m_1,0.9802,0.059136324
episode_212,c_4,c_5,c_9,s,0.9792,0.06496999
episode_213,c_8,c_2,c_3,c_10,0.9803,0.062051464
episode_214,c_11,c_3,c_6,c_5,0.9805,0.062571436
episode_215,c_11,c_1,m_1,c_7,0.9724,0.09049202
episode_216,c_5,c_12,c_9,c_1,0.9814,0.0597083
episode_217,c_1,c_11,c_8,c_8,0.9804,0.06080423
episode_218,c_10,m_1,c_5,s,0.9663,0.11300588
episode_219,c_3,c_10,c_12,m_3,0.9804,0.06350531
episode_220,m_3,c_4,c_10,c_10,0.8711,0.38675448
episode_221,c_3,m_3,c_2,m_3,0.9744,0.083615094
episode_222,c_1,c_9,c_1,m_3,0.9815,0.059193086
episode_223,c_6,m_2,c_11,c_6,0.9724,0.09017061
episode_224,c_6,c_11,m_2,c_7,0.9749,0.08305917
episode_225,c_4,c_9,m_1,c_9,0.9738,0.08689149
episode_226,c_7,m_2,m_1,s,0.9279,0.26352653
episode_227,c_3,c_11,c_10,m_2,0.9808,0.062457953
episode_228,c_12,c_1,c_12,c_9,0.9786,0.063328125
episode_229,c_9,c_3,c_10,m_2,0.9794,0.064241014
episode_230,c_11,c_11,c_12,m_3,0.9789,0.065839626
episode_231,c_9,c_12,c_9,c_6,0.9811,0.061202373
episode_232,c_7,c_1,c_3,c_3,0.9811,0.059130065
episode_233,c_8,c_10,c_1,s,0.9807,0.059578985
episode_234,c_6,c_6,c_9,c_3,0.9797,0.06063987
episode_235,c_2,m_2,c_1,s,0.9669,0.10810112
episode_236,c_6,m_2,m_2,c_9,0.9674,0.11858539
episode_237,c_7,m_1,c_10,s,0.9653,0.109463304
episode_238,c_2,c_8,s,-,0.9775,0.072607726
episode_239,c_8,m_3,c_12,c_12,0.9697,0.10370052
episode_240,c_4,m_2,c_7,s,0.9632,0.11960823
episode_241,c_1,c_11,c_11,c_1,0.982,0.05781752
episode_242,c_6,c_1,c_9,c_8,0.9809,0.058620606
episode_243,c_10,c_10,c_11,c_7,0.9821,0.059177693
episode_244,c_5,c_9,c_3,c_4,0.9809,0.06179001
episode_245,c_8,c_1,c_8,c_3,0.9786,0.06284644
episode_246,c_7,c_7,c_11,c_7,0.9807,0.058204252
episode_247,c_3,c_11,c_11,c_3,0.9793,0.0642911
episode_248,c_6,c_2,c_4,c_12,0.9797,0.062605895
episode_249,c_7,c_6,c_11,m_2,0.9803,0.063397944
episode_249,c_7,c_6,c_11,m_2,0.9805,0.059628427
episode_250,c_5,c_1,c_9,c_10,0.9808,0.060960576
episode_251,c_10,m_2,c_4,c_11,0.9624,0.12263613
episode_252,c_5,m_1,c_11,c_3,0.969,0.10381945
episode_253,c_7,c_7,c_3,c_10,0.9794,0.06616121
episode_254,c_8,c_1,c_8,c_12,0.9792,0.065154456
episode_255,c_9,m_1,c_5,m_1,0.9662,0.10810392
episode_256,c_7,c_5,c_4,c_10,0.98,0.062027376
episode_257,c_8,m_2,c_7,m_2,0.968,0.11066814
episode_258,c_11,c_10,c_7,s,0.9768,0.0740679
episode_259,c_11,c_6,c_8,c_10,0.9786,0.06157088
episode_260,c_5,c_10,c_9,c_5,0.9796,0.06399961
episode_261,c_5,c_12,c_5,c_1,0.9803,0.06423552
episode_262,c_12,c_6,c_5,s,0.9803,0.062372442
episode_263,c_10,c_4,c_2,c_2,0.9807,0.06239075
episode_264,c_7,c_3,c_4,c_10,0.9805,0.06075825
episode_265,c_11,c_6,c_8,c_10,0.9786,0.06157088
episode_266,c_10,c_8,m_2,c_4,0.9729,0.08737738
episode_267,c_4,c_7,c_11,m_1,0.9811,0.058796924
episode_268,c_4,m_3,c_7,c_10,0.9606,0.14095952
episode_269,c_11,m_1,m_1,s,0.9377,0.21410954
episode_270,c_2,c_9,c_5,c_11,0.9817,0.05823317
episode_271,c_3,m_1,m_3,m_3,0.9612,0.14427738
episode_272,c_4,c_7,c_1,m_1,0.9819,0.058327645
episode_273,c_1,c_6,c_7,s,0.9801,0.060518574
episode_274,c_11,c_5,c_3,c_2,0.9789,0.06280089
episode_275,c_9,m_3,c_4,c_9,0.972,0.09583482
episode_276,c_7,c_5,s,-,0.9784,0.07240082
episode_276,c_7,c_5,s,-,0.9779,0.06987904
episode_277,c_6,c_2,c_11,c_10,0.9803,0.06206938
episode_278,c_10,c_12,c_8,c_1,0.9799,0.062673144
episode_279,c_1,c_8,c_7,m_3,0.9799,0.062495902
episode_280,c_4,c_7,c_11,m_1,0.9811,0.058796924
episode_281,c_4,c_6,c_1,s,0.9803,0.06103466
episode_282,c_11,c_8,c_1,c_10,0.9795,0.062770806
episode_283,c_1,c_1,m_2,c_6,0.9689,0.09906411
episode_284,c_2,c_2,c_7,c_5,0.9801,0.058144484
episode_285,c_2,c_1,c_3,m_2,0.9804,0.061595798
episode_286,c_3,m_3,c_11,c_10,0.9747,0.08765347
episode_287,c_5,m_2,c_3,c_10,0.9671,0.10624687
episode_288,c_11,c_10,c_4,m_1,0.981,0.061398398
episode_289,c_8,c_6,m_2,c_4,0.9783,0.07183302
episode_290,c_7,c_9,c_6,c_2,0.981,0.05965563
episode_291,c_1,c_3,m_1,c_12,0.974,0.085921936
episode_292,c_10,m_1,c_7,m_2,0.9659,0.11299503
episode_292,c_10,m_1,c_7,m_2,0.9656,0.114914015
episode_293,c_6,c_3,c_2,c_1,0.9787,0.064169265
episode_294,c_9,c_2,c_3,m_3,0.9779,0.06624469
episode_295,c_9,m_2,c_8,m_3,0.9713,0.09342761
episode_296,c_7,m_2,m_2,c_2,0.9382,0.22824362
episode_297,c_5,c_1,c_9,c_10,0.9808,0.060960576
episode_298,c_5,c_4,c_1,c_2,0.9797,0.05951709
episode_299,c_5,c_12,m_3,c_7,0.9822,0.057157487
episode_300,c_9,c_6,m_3,s,0.981,0.066054136
episode_301,m_2,c_9,c_12,m_3,0.9523,0.1554691
episode_302,c_5,c_11,c_1,c_10,0.9792,0.06077172
episode_303,c_11,c_12,m_1,c_7,0.9732,0.08581193
episode_304,c_10,c_12,s,-,0.9777,0.072886966
episode_304,c_10,c_12,s,-,0.9784,0.071574606
episode_304,c_10,c_12,s,-,0.9769,0.072449245
episode_305,c_4,c_1,c_7,c_2,0.9801,0.059052497
episode_306,c_11,c_10,s,-,0.9768,0.07346976
episode_307,c_11,m_1,c_4,c_1,0.9682,0.107014544
episode_308,c_5,c_11,c_9,c_7,0.98,0.06258866
episode_309,c_1,m_3,s,-,0.9409,0.21255435
episode_309,c_1,m_3,s,-,0.9436,0.20352252
episode_310,c_1,c_1,c_11,c_6,0.9804,0.058347
episode_311,c_11,m_2,c_1,c_10,0.9652,0.11427533
episode_312,c_5,c_9,c_3,c_4,0.9809,0.06179001
episode_313,c_10,c_10,c_11,c_7,0.9821,0.059177693
episode_314,c_4,c_5,m_3,c_2,0.9798,0.0665314
episode_315,c_12,c_9,c_4,c_11,0.9805,0.06177254
episode_316,c_6,c_8,c_4,c_12,0.9779,0.066782966
episode_317,c_5,c_4,m_2,m_2,0.9722,0.09267263
episode_318,c_3,c_4,c_8,m_2,0.9809,0.06270302
episode_319,c_3,c_11,c_8,c_11,0.981,0.06212717
episode_320,c_9,c_6,m_3,s,0.981,0.066054136
episode_321,c_9,m_3,c_5,c_2,0.9728,0.08645671
episode_321,c_9,m_3,c_5,c_2,0.9742,0.086971045
episode_322,c_4,c_2,c_8,m_3,0.9805,0.059892684
episode_323,c_8,m_3,c_9,c_12,0.9709,0.09812579
episode_324,c_6,c_12,m_3,c_1,0.9804,0.06486068
episode_325,c_6,c_10,c_1,c_7,0.9784,0.062939405
episode_326,c_6,c_5,c_5,c_5,0.9789,0.06509986
episode_327,c_2,c_9,c_4,c_9,0.9791,0.06647761
episode_328,c_6,c_4,c_10,m_1,0.979,0.06734767
episode_329,c_9,c_9,c_1,s,0.9772,0.07091956
episode_330,c_5,c_4,c_4,c_11,0.9802,0.060923323
episode_331,m_1,c_7,m_1,m_2,0.924,0.2661576
episode_332,c_8,c_2,c_6,c_6,0.9805,0.06037348
episode_333,c_8,c_5,c_8,c_9,0.9805,0.05912255
episode_334,c_1,c_3,s,-,0.9777,0.07301677
episode_335,c_12,c_8,c_8,c_1,0.9781,0.067477025
episode_336,c_11,c_5,c_6,c_8,0.9804,0.061062727
episode_337,m_1,c_7,c_12,c_8,0.9578,0.13867632
episode_338,c_5,c_7,s,-,0.9758,0.07535529
episode_338,c_5,c_7,s,-,0.9771,0.07350419
episode_339,c_1,m_3,m_2,c_5,0.8707,0.52082753
episode_340,c_10,c_6,c_1,c_3,0.9795,0.06619243
episode_341,m_3,c_9,c_2,c_1,0.8718,0.39400837
episode_341,m_3,c_9,c_2,c_1,0.8667,0.40302026
episode_342,c_7,m_2,c_6,c_4,0.9643,0.11689243
episode_343,c_6,c_5,c_2,c_11,0.9801,0.060497936
episode_344,c_8,c_7,c_8,c_6,0.981,0.05752121
episode_345,c_9,c_1,s,-,0.9756,0.074224904
episode_346,c_2,c_8,m_3,c_4,0.9807,0.06647137
episode_347,c_3,c_6,c_8,c_9,0.9797,0.06211113
episode_348,c_5,c_11,m_2,c_9,0.9752,0.08157432
episode_349,c_3,c_2,s,-,0.9766,0.0718533
episode_350,c_2,c_12,c_5,c_6,0.9803,0.060695358
episode_351,c_6,c_8,c_7,c_2,0.9793,0.06330469
episode_352,c_11,c_9,m_3,c_9,0.9822,0.05674771
episode_353,c_8,c_12,c_11,c_7,0.9808,0.06113869
episode_354,c_6,c_12,c_2,c_8,0.9798,0.06474265
episode_355,c_2,m_1,c_1,c_11,0.9677,0.11135716
episode_355,c_2,m_1,c_1,c_11,0.9683,0.10752766
episode_356,c_9,c_8,s,-,0.9754,0.07415268
episode_357,c_11,m_3,m_2,c_4,0.9346,0.26349163
episode_358,m_1,c_3,m_2,s,0.9336,0.22195247
episode_359,c_3,c_4,c_8,m_2,0.9809,0.06270302
