Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_463,c_7,c_9,c_8,c_2,0.7176,0.8601915140151978
model_464,c_5,c_6,c_5,c_10,0.6975,0.9000327958106995
model_465,c_7,c_9,c_11,c_6,0.7354,0.7738984372138977
model_466,c_7,c_10,c_5,c_5,0.7354,0.7933484020233155
model_467,c_10,m_2,c_11,c_3,0.775,0.7396344831228256
model_468,c_8,c_1,c_10,c_2,0.7319,0.8238750010490418
model_469,c_7,c_7,c_4,c_1,0.695,0.9066148063659668
model_470,c_1,c_1,c_10,c_9,0.7248,0.8416033181190491
model_471,c_1,c_6,c_4,c_3,0.7267,0.8151860174179077
model_472,c_3,c_8,c_5,s,0.7145,0.8202462601661682
model_473,c_4,c_6,c_8,c_2,0.7379,0.7836459364891052
model_474,c_3,m_3,c_11,c_10,0.7195,0.8443382937431335
model_475,c_9,c_8,s,-,0.6966,0.918319467163086
model_476,c_3,c_11,c_12,m_2,0.7317,0.786516434955597
model_477,c_11,c_6,c_9,c_12,0.7554,0.7302884949684143
model_478,c_11,c_2,c_6,c_12,0.7265,0.8232517676353455
model_479,c_12,c_2,c_9,c_12,0.7411,0.7595372976303101
model_480,c_9,m_3,c_10,c_10,0.7703,0.6750731440544129
model_481,c_12,m_3,c_9,c_1,0.7782,0.6743278958797455
model_482,c_2,c_11,m_1,m_1,0.7327,0.7872689456939698
model_483,c_9,c_3,c_1,c_11,0.7368,0.7852584968566895
model_484,c_12,c_7,c_3,c_4,0.7156,0.8559521379470825
model_485,c_11,m_2,c_3,c_4,0.7394,0.7634431200027466
model_486,c_5,c_8,c_4,m_1,0.7029,0.8489739114761352
model_487,c_7,c_1,c_5,c_2,0.7165,0.8436643237113952
model_488,c_8,m_2,m_2,c_6,0.747,0.7561304347991943
model_489,c_12,c_1,c_7,c_12,0.707,0.8447198478698731
model_490,c_3,c_11,c_12,s,0.7405,0.7694703113079071
model_491,c_3,c_12,m_3,c_8,0.7648,0.6802476861953736
model_492,c_9,c_11,c_1,c_8,0.723,0.8499726418495178
model_493,c_12,c_12,c_11,m_2,0.7476,0.7528800495147705
model_494,c_5,c_12,c_9,c_1,0.7434,0.7715346405029296
model_495,c_1,c_5,c_12,c_6,0.7439,0.7546769404411315
model_496,c_12,c_2,m_1,c_6,0.7546,0.7163194772720337
model_497,c_7,c_11,c_5,c_5,0.7401,0.7677197903633117
model_498,c_7,c_8,c_9,m_2,0.7443,0.7764315757274628
model_499,c_7,c_11,c_3,c_6,0.7384,0.7971857333183289
model_500,c_3,c_8,c_2,m_3,0.7249,0.8030630384445191
model_501,c_2,c_10,m_1,s,0.7145,0.8272861924171447
