Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_498,c_3,m_3,c_11,c_10,0.9747,0.08765347
model_499,c_9,c_8,s,-,0.9754,0.07415268
model_500,c_3,c_11,c_12,m_2,0.9815,0.061485454
model_501,c_11,c_6,c_9,c_12,0.9798,0.065864675
model_502,c_11,c_2,c_6,c_12,0.9807,0.06036689
model_503,c_12,c_2,c_9,c_12,0.9796,0.06467728
model_504,c_9,m_3,c_10,c_10,0.9749,0.0872123
model_505,c_12,m_3,c_9,c_1,0.9744,0.081267454
model_506,c_2,c_11,m_1,m_1,0.9732,0.08635829
model_507,c_9,c_3,c_1,c_11,0.9803,0.06152666
model_508,c_12,c_7,c_3,c_4,0.9783,0.06536453
