EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_218,c_7,c_10,c_11,c_10,0.9808,0.0621201,model_1894
episode_219,c_6,c_4,c_12,m_2,0.9783,0.06382814,model_1177
episode_220,c_3,c_10,m_1,c_6,0.973,0.09341211,model_1688
episode_221,c_3,c_4,c_12,c_6,0.9795,0.06255069,model_1102
episode_222,c_6,m_2,c_8,c_12,0.9671,0.108704805,model_707
episode_223,c_1,c_3,c_3,c_1,0.9802,0.06062448,model_1759
episode_224,c_3,c_7,c_8,c_4,0.9806,0.06087501,model_307
episode_225,c_11,c_3,c_12,c_10,0.9796,0.062298797,model_964
episode_226,c_10,c_9,s,-,0.9765,0.07581689,model_390
episode_227,c_10,m_1,c_5,s,0.9663,0.11300588,model_1475
episode_228,c_7,c_5,c_12,c_8,0.9791,0.05942589,model_732
episode_229,c_6,c_2,c_6,c_5,0.9797,0.062021516,model_202
