EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_274,c_12,c_12,c_11,m_2,0.7476,0.7528800495
episode_275,c_12,c_5,c_9,s,0.7271,0.8067157066
episode_276,c_11,c_9,m_2,c_7,0.7235,0.8252062973
episode_277,c_6,c_7,c_2,c_5,0.7235,0.8489206846
episode_278,c_2,m_3,c_7,c_8,0.7466,0.753097322
episode_279,c_9,c_3,m_2,c_2,0.7471,0.7470782783
episode_280,c_6,c_1,m_2,c_8,0.7099,0.835666832
episode_281,c_11,c_8,c_12,m_3,0.7432,0.7858569288
episode_282,c_6,c_1,c_6,c_12,0.7364,0.784661207
episode_283,c_3,m_3,c_11,c_10,0.7195,0.8443382937
episode_284,c_11,m_2,c_1,c_10,0.768,0.7256743255
episode_285,c_10,c_8,m_2,c_4,0.6941,0.8685959763
episode_286,c_3,c_6,c_10,c_1,0.7332,0.8003782773
episode_287,c_10,m_1,c_10,c_6,0.7624,0.7010786333
episode_288,c_11,c_8,c_12,c_7,0.7816,0.670923123
episode_289,c_1,c_3,m_2,c_11,0.7583,0.7639938903
episode_290,c_9,c_5,c_2,m_1,0.7392,0.7744453037
episode_291,c_11,c_9,c_10,c_6,0.7452,0.759698036
episode_292,c_1,c_1,c_11,c_6,0.7271,0.8297973987
episode_293,c_11,m_2,c_3,c_4,0.7394,0.76344312
episode_294,c_11,c_10,m_1,c_1,0.7302,0.8009351631
episode_295,c_12,c_10,c_6,m_3,0.761,0.7030323519
episode_296,c_8,c_6,c_3,c_5,0.7461,0.77316395
episode_297,c_3,c_11,c_10,c_3,0.7224,0.8185229527
episode_298,c_7,c_4,c_6,m_3,0.6926,0.9162213668
episode_299,c_8,c_11,c_12,c_8,0.7666,0.7129476029
episode_300,c_7,m_3,c_3,m_1,0.714,0.8305894013
episode_301,m_2,c_9,m_2,c_7,0.7179,0.8526341682
episode_302,c_8,c_6,m_2,c_3,0.7504,0.7895045175
episode_303,c_10,c_10,m_3,c_7,0.7597,0.7023822917
episode_304,c_5,c_3,m_1,c_9,0.7389,0.7677965093
episode_305,c_6,m_3,c_3,c_8,0.7471,0.773602103
episode_306,c_2,c_7,m_2,c_8,0.7222,0.8051841713
episode_307,c_4,c_11,m_2,m_1,0.7354,0.7732309641
episode_308,c_2,c_11,c_7,c_12,0.7226,0.8360046186
episode_309,c_5,c_10,c_6,s,0.717,0.8283129026
episode_310,c_7,m_3,c_5,c_3,0.7167,0.817483981
episode_311,c_4,c_7,c_9,c_4,0.7097,0.8694775596
episode_312,c_9,c_2,c_3,m_3,0.7154,0.8192665898
episode_313,c_3,m_1,c_4,m_1,0.6682,0.9526095943
episode_314,c_8,m_1,c_2,c_2,0.7277,0.8085538344
episode_315,c_6,c_12,c_7,c_12,0.7165,0.8765576422
episode_316,c_8,c_4,c_2,c_5,0.7107,0.8399426954
episode_317,c_6,c_11,c_4,c_9,0.7161,0.8539475494
episode_318,c_1,c_4,c_11,m_1,0.7135,0.8356865856
episode_319,c_1,c_10,c_5,c_7,0.7124,0.8525966891
