Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1273,c_8,c_10,c_10,c_3,0.9747,0.080377884
model_1274,c_2,c_9,c_7,c_11,0.9731,0.083117105
model_1275,c_12,m_3,c_10,c_11,0.9507,0.1650663
model_1276,m_3,c_12,c_10,c_2,0.8183,0.5659062
model_1277,c_12,c_4,c_5,c_11,0.9733,0.08524665
model_1278,c_8,c_2,c_3,c_4,0.9738,0.08274745
model_1279,c_12,c_12,m_3,c_1,0.971,0.10022621
model_1280,m_1,c_12,s,-,0.9109,0.30395237
model_1281,c_11,m_3,c_1,s,0.9498,0.17522217
model_1282,c_12,c_9,c_2,s,0.9729,0.08438235
model_1283,c_2,c_5,c_2,c_12,0.9718,0.08600055
model_1284,c_1,c_10,m_3,c_2,0.9526,0.16483419
model_1285,c_1,c_5,c_2,c_4,0.972,0.0883132
model_1286,c_12,c_5,c_5,m_3,0.9735,0.08400287
model_1287,m_3,c_4,c_3,c_11,0.8387,0.5088424
model_1288,m_1,m_2,c_9,c_12,0.7055,0.957759
model_1289,c_5,c_11,c_2,c_8,0.9742,0.081613846
model_1290,c_3,c_6,c_9,c_12,0.9711,0.08841689
model_1291,c_11,c_1,c_10,m_3,0.9728,0.08565759
model_1292,m_1,m_3,c_5,c_11,0.4437,1.6183499
model_1293,c_5,c_6,c_5,c_5,0.974,0.08541008
model_1294,m_3,c_12,c_9,c_7,0.8327,0.52475184
model_1295,m_1,m_2,c_11,c_7,0.7123,0.9396809
model_1296,m_2,c_7,m_1,m_2,0.8845,0.4176574
model_1297,c_9,c_3,c_5,c_7,0.9732,0.085350685
model_1298,m_1,m_1,m_2,m_2,0.2912,2.058315
model_1299,c_12,c_1,m_2,m_1,0.957,0.14584671
model_1300,c_11,c_1,m_1,c_8,0.9573,0.14689954
model_1301,c_3,c_8,c_4,c_10,0.973,0.08439963
model_1302,m_2,m_1,c_10,c_3,0.7524,0.82451427
model_1303,c_5,c_9,m_2,c_2,0.9638,0.12199269
model_1304,c_7,c_8,c_8,c_4,0.9735,0.08139307
model_1305,c_12,m_1,c_6,c_4,0.953,0.16567114
model_1306,c_3,c_7,m_3,s,0.9609,0.13553368
model_1307,c_2,c_4,s,-,0.9683,0.11065125
model_1308,m_1,c_8,c_9,s,0.9371,0.20743105
model_1309,c_1,c_4,c_1,m_1,0.9742,0.08341076
model_1310,c_8,c_6,c_7,c_11,0.974,0.08326577
model_1311,c_2,c_12,c_9,c_11,0.9705,0.092513576
model_1312,c_2,m_2,m_3,c_6,0.8771,0.66654396
model_1313,c_11,c_3,c_5,c_6,0.9724,0.08364298
model_1314,c_11,c_11,c_12,c_5,0.9729,0.08726078
model_1315,m_3,c_5,m_3,m_3,0.6037,1.8154438
model_1316,m_2,c_6,c_2,c_3,0.9309,0.22779684
model_1317,c_9,c_12,c_4,c_12,0.9729,0.089124754
model_1318,c_1,c_11,s,-,0.9686,0.10688026
model_1319,m_3,c_1,c_11,m_3,0.8442,0.49939907
model_1320,m_3,m_3,c_11,c_12,0.1135,2.301051
model_1321,c_10,m_1,c_2,c_3,0.9496,0.1714868
model_1322,c_3,c_9,c_10,c_10,0.9742,0.08283269
model_1323,m_1,c_9,c_10,m_2,0.9327,0.2264215
model_1324,c_5,c_10,c_6,c_3,0.9747,0.08366957
model_1325,c_10,c_5,c_1,m_3,0.9743,0.08221059
model_1326,c_7,m_3,c_7,c_6,0.9241,0.25602588
model_1327,c_11,c_6,c_9,c_3,0.9733,0.08491731
model_1328,c_5,c_1,m_1,c_10,0.9572,0.14285806
model_1329,c_9,c_12,c_4,c_10,0.9728,0.08889967
model_1330,c_11,c_2,c_1,c_5,0.9713,0.092546314
model_1331,c_2,c_4,m_2,c_6,0.9538,0.15530132
model_1332,c_7,c_10,c_1,m_2,0.9739,0.08259409
model_1333,c_1,c_2,c_1,c_10,0.9739,0.08157531
model_1334,c_6,m_3,m_1,c_6,0.9363,0.27536008
model_1335,c_4,c_7,c_3,s,0.9745,0.08237793
model_1336,m_2,c_11,c_6,m_2,0.9331,0.22222477
model_1337,c_3,c_11,c_3,m_1,0.9708,0.09128893
model_1338,c_8,c_9,c_10,m_1,0.9752,0.07697353
model_1339,c_6,m_2,c_7,m_1,0.9545,0.15644884
model_1340,c_3,c_3,c_12,c_4,0.9735,0.08498648
model_1341,c_12,m_1,m_3,c_10,0.938,0.26430142
model_1342,c_2,c_2,c_4,c_7,0.974,0.08158243
model_1343,m_3,c_11,c_4,m_1,0.8301,0.53468704
model_1344,m_1,c_10,m_2,c_10,0.9119,0.34715965
model_1345,c_9,m_3,c_2,c_1,0.9563,0.14849441
