Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_37,c_2,c_8,c_8,m_3,0.7447,0.7648122952461243
model_38,c_2,c_1,s,-,0.6945,0.8999110469818116
model_39,c_6,c_11,c_4,s,0.6908,0.8864691417694092
model_40,c_9,c_11,c_11,c_8,0.7541,0.7445020029067994
model_41,c_12,s,-,-,0.6803,0.9452649375915527
model_42,c_12,c_6,c_6,c_2,0.7289,0.8136144799232483
model_43,c_4,c_5,m_3,s,0.723,0.8273366256713868
model_44,c_5,c_10,c_3,c_12,0.7163,0.9440973538398743
model_45,c_5,c_6,c_1,c_6,0.7405,0.7749704712867737
model_46,c_8,c_4,s,-,0.6848,0.901766642665863
model_47,c_9,c_11,m_1,c_3,0.7222,0.8241986484527588
model_48,c_1,c_2,c_9,c_4,0.6901,0.9030096556663513
model_49,c_5,c_1,m_2,c_8,0.7324,0.809107688331604
model_50,c_8,m_2,c_7,m_2,0.7141,0.8299718409538269
model_51,c_7,c_2,c_10,c_6,0.7397,0.764788027381897
model_52,c_4,c_11,m_1,c_11,0.7324,0.7839399269104004
model_53,c_6,s,-,-,0.6857,0.9753169552803039
model_54,c_3,c_4,c_8,m_2,0.7254,0.7945676964759827
model_55,c_1,c_9,c_3,m_3,0.7538,0.7268419078826904
model_56,c_10,m_3,c_2,m_2,0.7331,0.7824187640190124
model_57,c_1,c_9,c_9,c_4,0.7339,0.8539845994949341
model_58,c_5,c_9,s,-,0.7092,0.9018447620391846
model_59,c_5,c_9,m_3,c_7,0.7424,0.7582964885711669
model_60,c_10,c_10,c_7,c_11,0.7221,0.8503925807952881
model_61,c_5,c_3,c_3,c_11,0.7116,0.8832558166503907
model_62,c_1,c_5,c_7,c_12,0.7129,0.865197128200531
model_63,c_10,m_3,c_12,m_1,0.7358,0.7687754571914673
model_64,c_10,c_6,c_1,c_3,0.7434,0.7522839263916016
model_65,c_11,c_2,c_3,c_3,0.7473,0.7637720174789429
model_66,m_1,c_4,c_10,m_1,0.6757,0.9214147031784058
model_67,c_11,m_1,c_6,s,0.7403,0.7632428288459778
model_68,m_2,m_2,c_1,m_2,0.6029,1.1740130949020386
model_69,c_1,c_3,c_12,c_2,0.75,0.765303719329834
model_70,c_8,c_3,c_2,c_8,0.6984,0.8682634302139283
model_71,c_12,c_12,c_5,c_12,0.738,0.7725840079307557
model_72,c_2,c_1,c_4,c_10,0.6783,1.0622010723114013
model_73,c_2,m_2,c_8,m_2,0.7324,0.8080792590141297
model_74,c_5,c_7,c_5,m_1,0.7118,0.8365593143463135
model_75,c_3,m_2,c_7,c_12,0.7747,0.7099987860679626
model_76,c_6,c_8,m_3,m_1,0.7426,0.7490457637786865
model_100,c_1,c_3,c_9,c_9,0.7339,0.8407261132240296
model_101,c_7,m_2,c_5,c_6,0.7258,0.8552287107467651
model_102,c_8,c_2,c_3,c_10,0.719,0.8139318572998047
model_103,c_11,c_1,c_11,c_5,0.741,0.7737423454284668
model_104,c_8,c_11,c_5,c_3,0.7429,0.7704539366722107
model_105,c_5,m_3,m_2,c_12,0.7156,0.8246446154594421
model_106,c_5,m_1,c_11,c_7,0.7282,0.8358966621398926
model_107,c_8,c_6,c_3,m_3,0.7574,0.7291201599121093
model_108,c_1,c_1,c_12,c_11,0.7502,0.755509055519104
model_109,c_5,c_10,c_9,c_6,0.7319,0.7875219831466674
model_110,c_3,c_8,c_8,m_2,0.7058,0.8663253727912903
model_111,c_6,c_5,c_7,m_3,0.7269,0.7969543286323547
model_112,c_6,c_1,c_6,c_12,0.7364,0.7846612070083618
model_113,c_12,m_3,c_4,c_2,0.7701,0.6870142332077026
model_114,c_1,c_1,c_4,s,0.7083,0.8586752848625183
model_115,c_7,c_3,c_1,c_2,0.7293,0.7918466835975647
model_116,c_8,c_2,s,-,0.6913,0.9116117840766906
model_117,c_3,m_3,m_3,c_2,0.6775,0.9138725136756897
model_118,c_3,c_5,c_11,m_2,0.73,0.7938007363319397
model_119,c_3,c_4,c_4,c_9,0.6947,0.8988509560585022
model_120,c_6,c_3,c_12,c_3,0.7418,0.7756717394828796
model_121,c_8,c_11,m_2,s,0.7315,0.7872298036575317
model_122,c_10,c_1,c_8,s,0.7163,0.8452591891288758
model_123,c_6,c_1,c_7,c_3,0.7297,0.832669402885437
model_124,c_3,c_2,m_2,m_1,0.711,0.8339955484390259
model_125,c_1,c_7,c_6,c_8,0.7203,0.7933173099517822
model_126,c_5,c_4,c_4,c_11,0.706,0.8899975503921509
model_127,c_5,c_11,c_11,c_4,0.7327,0.8042854309082031
model_128,c_3,m_3,c_2,m_3,0.7121,0.846914152431488
model_129,c_4,c_7,c_7,c_1,0.6961,0.8853575270652772
model_130,c_9,c_3,s,-,0.72,0.8787051292419433
model_131,c_10,c_8,m_2,c_4,0.6941,0.8685959762573242
model_132,c_4,c_5,c_8,c_7,0.7141,0.8632926075935364
model_133,c_11,c_7,c_5,c_10,0.7332,0.7897909985542297
model_134,c_10,c_6,c_6,-,0.75,0.7631322837829589
model_135,c_6,c_4,c_9,m_3,0.6993,0.9162489612579345
model_136,c_4,m_1,c_1,m_1,0.6697,0.9707937905311584
model_137,c_11,m_1,s,-,0.7206,0.8545899254798889
model_138,c_9,c_9,c_3,c_11,0.7428,0.7439437936782837
model_139,c_4,c_10,c_7,c_9,0.7428,0.7798808919906616
model_140,c_7,m_1,m_2,c_6,0.7413,0.7792871590614319
model_141,c_10,c_5,c_7,c_9,0.717,0.8397955895423889
model_142,c_4,c_8,m_3,c_9,0.7492,0.721343607711792
model_143,c_11,c_3,m_1,-,0.7353,0.7858456051826477
model_144,c_12,c_4,m_1,c_2,0.7394,0.7735637818336487
model_145,m_1,c_6,c_10,s,0.6816,0.9332350017547607
model_146,c_11,c_1,m_1,c_7,0.7078,0.8688348224639892
model_147,c_8,m_3,m_3,c_4,0.6957,0.8646486258506775
model_148,c_9,c_1,c_4,c_5,0.7113,0.9032897329330445
model_149,c_2,c_6,c_2,c_7,0.7151,0.8251326608657837
model_150,c_2,c_7,c_1,c_4,0.7002,0.8892723557472229
model_151,c_2,m_2,c_11,c_5,0.7417,0.7873648535728455
model_152,c_8,c_11,c_10,c_2,0.7533,0.7903001865386963
model_153,c_9,c_5,c_8,c_2,0.7349,0.7949512573242188
model_154,c_1,c_9,s,-,0.707,0.887363705444336
