episode_2776,c_9,c_8,c_3,c_4,0.9723,0.088698305,model_2678
episode_2777,c_4,c_8,s,-,0.9678,0.106979765,model_2613
episode_2778,c_5,c_8,m_2,c_2,0.9598,0.13157047,model_2679
episode_2779,c_5,c_8,m_3,c_2,0.9656,0.11653054,model_2680
episode_2780,c_6,c_10,c_5,c_1,0.9728,0.08322441,model_2681
episode_2781,c_1,c_6,c_5,c_1,0.9724,0.088285305,model_2682
episode_2782,c_8,s,-,-,0.9613,0.13357337,model_1311
episode_2782,c_8,s,-,-,0.962,0.13284324,model_1614
episode_2783,c_8,c_2,c_12,m_1,0.972,0.08784687,model_2683
episode_2784,c_11,c_4,c_5,c_7,0.9729,0.08357529,model_2684
episode_2785,c_4,m_3,c_2,c_1,0.9193,0.25936174,model_2685
episode_2786,c_5,m_2,c_8,c_6,0.9513,0.16040097,model_2686
episode_2787,c_5,c_8,c_7,m_3,0.9732,0.08428488,model_2687
episode_2788,c_11,s,-,-,0.9599,0.13573883,model_354
episode_2788,c_11,s,-,-,0.9608,0.1349148,model_1239
episode_2789,c_5,c_4,c_8,c_9,0.9727,0.08135515,model_2688
episode_2790,c_3,c_8,m_3,c_10,0.9659,0.116322435,model_2689
episode_2791,c_5,c_10,c_5,c_7,0.9733,0.082618296,model_2690
episode_2792,c_5,c_10,c_5,c_11,0.9741,0.08071659,model_2691
episode_2793,c_9,c_8,c_7,m_2,0.9738,0.08454858,model_2692
episode_2794,c_5,c_9,c_5,c_1,0.9727,0.08658072,model_2693
episode_2795,c_6,c_5,c_9,m_3,0.9741,0.086118154,model_2694
episode_2796,c_5,c_8,c_8,c_5,0.9751,0.07970783,model_2695
episode_2797,c_6,c_8,c_9,c_11,0.9721,0.08397476,model_2696
episode_2798,m_3,c_8,c_5,s,0.8566,0.45629424,model_2697
episode_2799,c_5,c_8,c_6,c_1,0.9719,0.08369802,model_2698
episode_2800,m_2,c_7,c_7,m_1,0.932,0.22023085,model_2699
episode_2801,c_2,c_8,m_1,c_1,0.961,0.1328756,model_2700
episode_2802,c_11,c_6,c_5,m_1,0.9743,0.08111819,model_2701
episode_2803,c_5,c_7,c_8,m_3,0.972,0.08776081,model_2702
episode_2804,c_1,c_9,c_2,c_12,0.9739,0.083698414,model_2703
episode_2805,c_5,c_8,c_5,c_12,0.9738,0.08269665,model_2704
episode_2806,m_2,c_8,c_1,c_12,0.9285,0.22969627,model_2705
episode_2807,c_7,m_1,m_2,c_2,0.8972,0.38974312,model_2706
episode_2808,m_1,c_4,m_1,c_12,0.901,0.3634483,model_2707
episode_2809,c_11,m_1,c_8,c_11,0.9508,0.16224629,model_2708
episode_2810,c_5,c_11,c_5,c_1,0.9818,0.06095364,model_1791
episode_2811,c_5,c_8,c_10,c_1,0.9734,0.084087804,model_2457
episode_2812,c_5,m_2,c_5,c_4,0.9497,0.16551135,model_2709
episode_2813,c_4,c_6,c_6,c_1,0.9731,0.08421357,model_2710
episode_2814,c_5,c_8,c_4,c_2,0.9727,0.083813794,model_2711
episode_2815,c_4,c_1,c_6,c_9,0.9748,0.081115946,model_2712
episode_2816,c_7,c_4,s,-,0.9765,0.07468289,model_1439
episode_2817,c_4,c_8,m_1,c_1,0.9613,0.13665628,model_2713
episode_2818,c_2,c_8,c_5,c_11,0.9723,0.08613559,model_2714
episode_2819,c_1,c_10,c_12,c_1,0.974,0.08242757,model_2715
episode_2820,c_7,m_1,c_2,m_1,0.9662,0.11197111,model_1792
episode_2821,c_5,c_5,c_5,c_1,0.9728,0.08555476,model_2716
episode_2822,c_11,c_8,c_5,c_1,0.971,0.085026495,model_2526
episode_2823,m_2,c_8,s,-,0.908,0.313755,model_2717
episode_2824,c_9,c_8,c_5,c_5,0.9723,0.08857753,model_2439
episode_2825,m_2,c_6,c_5,c_3,0.9322,0.22759625,model_2718
episode_2826,c_11,s,-,-,0.9599,0.13573883,model_354
episode_2826,c_11,s,-,-,0.9608,0.1349148,model_1239
episode_2827,c_10,c_5,c_5,c_1,0.9744,0.08049429,model_2719
episode_2828,c_3,c_1,c_5,c_8,0.9729,0.08678091,model_2720
episode_2829,c_9,c_12,c_8,c_7,0.9719,0.086045586,model_2721
episode_2830,c_8,c_12,c_10,c_1,0.9749,0.084457666,model_2722
episode_2831,m_1,c_11,c_5,c_3,0.9348,0.21493451,model_2723
episode_2832,m_2,c_8,c_5,c_3,0.9326,0.22365442,model_2724
episode_2833,s,-,-,-,0.9111,0.328965,model_431
episode_2834,c_5,c_3,c_11,c_9,0.9743,0.078653194,model_2725
episode_2835,c_5,c_4,m_3,m_3,0.9523,0.16289937,model_2726
episode_2836,c_10,c_7,s,-,0.9769,0.0760388,model_1432
episode_2837,m_1,c_1,c_7,c_3,0.9381,0.21118422,model_2727
episode_2838,c_6,m_1,c_5,c_7,0.9526,0.15933165,model_2728
